N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,SKC,"152,500","3,000",+2.01%,"5,000","57,749","37,868",13.01,"503,658","-2,420.63",2.21,
60,현대건설,"51,600",900,+1.78%,"5,000","57,460","111,356",21.27,"477,914",46.53,1.84,
61,한국타이어앤테크놀로지,"46,000",150,-0.33%,500,"56,983","123,875",41.76,"231,527",12.68,5.12,
62,미래에셋증권,"8,780",40,+0.46%,"5,000","55,781","635,316",13.87,"910,427",7.00,8.94,
63,코웨이,"75,100",200,+0.27%,500,"55,424","73,800",59.41,"148,901",12.92,31.51,
64,F&F,"716,000","15,000",+2.14%,500,"54,856","7,661",10.75,"45,018",N/A,N/A,
65,에스디바이오센서,"51,100","1,300",-2.48%,500,"52,772","103,271",2.33,"817,466",7.75,139.97,
66,한국금융지주,"94,100",700,+0.75%,"5,000","52,438","55,726",34.57,"161,886",4.20,16.27,
67,현대중공업지주,"65,700",100,-0.15%,"1,000","51,898","78,993",17.26,"207,087",-15.17,-8.12,
68,이마트,"177,500","1,000",-0.56%,"5,000","49,480","27,876",35.25,"182,908",12.24,4.05,
69,오리온,"125,000","1,000",-0.79%,500,"49,420","39,536",39.36,"121,648",18.57,15.50,
70,맥쿼리인프라,"12,200",0,0.00%,0,"49,391","404,846",14.56,"482,805",N/A,N/A,
71,한미사이언스,"73,300",500,-0.68%,500,"49,334","67,305",1.53,"94,364",178.35,3.47,
72,LG이노텍,"207,000","1,000",-0.48%,"5,000","48,991","23,667",29.84,"88,831",8.96,10.20,
73,KODEX 200,"41,405",130,+0.31%,0,"48,961","118,250",4.37,"2,310,261",N/A,N/A,
74,아모레G,"56,700",200,-0.35%,500,"46,754","82,458",17.29,"101,170",36.11,0.31,
75,한진칼,"66,400",300,+0.45%,"2,500","44,315","66,739",14.81,"174,775",-45.32,-19.55,
76,팬오션,"8,210",50,+0.61%,"1,000","43,888","534,570",11.43,"7,066,307",25.18,3.25,
77,두산밥캣,"42,950",650,+1.54%,500,"43,057","100,249",25.92,"222,916",11.30,6.15,
78,유한양행,"61,400",600,+0.99%,"1,000","42,963","69,973",17.78,"153,595",44.65,11.06,
79,삼성엔지니어링,"21,850",350,+1.63%,"5,000","42,826","196,000",32.98,"1,923,882",13.56,17.32,
80,삼성증권,"47,550",250,+0.53%,"5,000","42,462","89,300",29.40,"338,263",5.43,9.89,
81,DB손해보험,"59,000",500,+0.85%,500,"41,772","70,800",42.86,"125,409",6.74,9.08,
82,쌍용C&E,"8,110",140,+1.76%,100,"40,863","503,860",3.61,"883,805",26.16,7.92,
83,삼성카드,"33,850",0,0.00%,"5,000","39,218","115,859",8.23,"104,260",9.23,5.69,
84,삼성중공업,"6,210",130,+2.14%,"1,000","39,123","630,000",13.80,"3,746,903",-2.55,-33.06,
85,GS,"41,500",350,+0.85%,"5,000","38,560","92,915",19.27,"176,522",6.09,-2.82,
86,CJ대한통운,"168,000","1,000",-0.59%,"5,000","38,325","22,812",22.70,"31,605",110.09,3.89,
